,NU,PU,PM,PS,SS,attention,cogstable,motor,perseverance,selfcontrol,cogcomplex,GMK
alpha_sess1,0.221365965,0.504927172,0.637140097,0.021478691,0.560406597,0.4141897,0.551099903,0.58542277,0.068445511,0.394560594,0.237969644,0.352275296
rho_sess1,0.6040199,0.894204994,0.564664173,0.560290466,0.961345115,0.544643195,0.702020252,0.303804686,0.916569614,0.720845436,0.947338779,0.652014603
tau_sess1,0.587658626,0.767021354,0.405886095,0.534638586,0.859440227,0.945838785,0.985356625,0.115508483,0.550360849,0.471397688,0.296113977,0.579323818
gamma_sess1,0.480846739,0.910580834,0.070228525,0.608173508,0.432817643,0.703895381,0.266682022,0.498675442,0.178638423,0.945559562,0.686652842,0.247287339
eta_sess1,0.272146162,0.870233112,0.885764565,0.313692386,0.320511733,0.919988476,0.834271784,0.022592874,0.381726442,0.857386191,0.442871416,0.270081821
alpha_sess2,0.941344247,0.681386665,0.19962498,0.762270417,0.903247252,0.049876512,0.49497118,0.393246236,0.860241326,0.048576488,0.768270575,0.897318056
rho_sess2,0.260234146,0.066011002,0.083159523,0.728088245,0.753045534,0.080736982,0.324339759,0.079202049,0.451729066,0.0652322,0.569298557,0.095575668
tau_sess2,0.53619681,0.848265471,0.815026785,0.48523357,0.669055048,0.879495349,0.159978213,0.467464288,0.27974167,0.322311063,0.194456037,0.826418851
gamma_sess2,0.304908754,0.244440113,0.003415626,0.904973668,0.156538622,0.09414469,0.009020515,0.037513185,0.938231447,0.915238123,0.067887777,0.639709205
eta_sess2,0.63942816,0.733758615,0.710483432,0.900959325,0.86214674,0.801321762,0.538829696,0.551460378,0.170837991,0.926081116,0.541777777,0.913955275